OBJECTID,class,POINT_X,POINT_Y,b1_PCA_202,b2_PCA_202,b3_PCA_202,b4_PCA_202,b5_PCA_202,b6_PCA_202,b7_PCA_202,b8_PCA_202,b9_PCA_202,b10_PCA_20,cell concentration (cells/mL)
78,snow,-121.6940808,48.85391621,-42881.03125,4457.719727,818.2087402,772.7506714,2.8448586,48.7033195,-155.9833832,-560.0979004,179.6481781,178.7051849,
79,snow,-121.6969762,48.85329759,-37681.35938,3410.641602,-184.2407837,-12.3697729,-324.3847046,-572.6369629,-373.4402161,22.6345768,863.5914307,289.5599976,
80,snow,-121.6972423,48.85284755,-35995.47656,2260.557617,-923.3587036,-329.6801147,538.6325684,352.9375916,-467.8356323,21.8559132,-306.1216125,79.8389206,
81,snow,-121.6943959,48.85265825,-24393.77539,4324.729004,-787.4533691,452.178009,-717.4923706,190.5779572,-105.4471054,-540.3324585,-228.4476318,91.7954483,
82,snow,-121.6933006,48.85396426,-48247.92578,3219.771729,-213.3446808,-273.2917786,-252.9659424,-313.7846375,-398.0106812,257.0527954,-172.9955139,236.5422821,
83,snow,-121.6974953,48.85417517,-45673.58594,3668.761475,285.5779114,34.506012,286.7044678,504.6336365,-1.0767398,-325.1235352,-470.8021545,204.303009,
84,snow,-121.6962519,48.85287022,-29785.35352,6448.73877,1207.380127,908.6661987,287.9413452,860.8632813,901.7659302,267.2696838,351.769928,-484.3438721,
85,snow,-121.6954178,48.85309979,-25026.67188,3499.765869,-672.5701294,513.503479,255.5961761,-198.5844269,-1398.654175,-624.6890259,661.3713989,318.5770874,
86,snow,-121.6945023,48.85447521,-53500.06641,729.5219727,-256.1984558,-376.5005188,-219.0523834,-1165.126831,543.5249023,489.3631287,-991.4832153,-128.898941,
87,snow,-121.6953022,48.8535176,-33896.70703,4868.364258,828.9744873,209.2177582,78.3027954,-14.2503529,-376.0949097,323.2033691,-484.0313416,-1084.987671,
88,snow,-121.6918032,48.85309585,-26025.31055,5824.391113,662.9780273,-526.1710205,-586.3572998,591.286377,-228.2960663,577.4383545,147.720459,233.2163544,
89,snow,-121.6936627,48.85255918,-28959.60352,5158.126953,491.5881042,-452.7673035,109.4746475,183.2758484,-499.317749,487.9493713,-256.9794922,-358.3980103,
90,snow,-121.6984675,48.85332372,-38295.64063,5952.759277,1072.656372,10.2995071,-162.0207214,823.5827026,809.9017944,-756.6403198,-317.7046204,-383.8816528,
91,snow,-121.6918668,48.85302959,-29139.66016,5266.908691,208.5366058,-42.3149948,-689.8604126,513.590332,-918.3077393,287.8652954,121.2120209,267.7431946,
92,snow,-121.6914307,48.85297088,-28023.07617,4874.574707,-146.2444458,455.3203125,-665.9407959,301.5959473,-706.4390259,-652.0626831,-645.0639038,264.1238098,
93,snow,-121.691947,48.85435659,-47635.07813,2012.436523,-684.1884766,539.2127075,-155.4465485,-368.5500183,-61.140316,-302.0523376,-315.2492371,-421.7220154,
94,water,-121.6921542,48.85320049,-107107.6953,-3706.71875,141.2124481,466.3149719,972.2047729,732.4859619,-171.6565094,26.1959496,145.4144135,290.0854797,
95,snow,-121.6898386,48.85438654,-40983.06641,5362.117188,1334.181274,-5.2053013,392.1507874,22.4567909,-116.2713318,-150.0453339,-673.1133423,-270.4087219,
96,snow,-121.6930835,48.85351892,-38835.21484,3179.59082,-749.4684448,544.5997314,64.7739182,404.3999023,-128.3881989,-79.4310074,-470.354126,-332.7293701,
97,snow,-121.6953598,48.85369694,-44544.99219,1618.818237,-388.2294006,1341.939819,-473.5531616,-226.8468018,867.664917,-73.9685059,-172.7861176,1181.728149,
98,snow,-121.6954582,48.85262789,-29563.19141,5767.797852,766.8262939,201.5071106,-192.6116028,-746.0684204,86.6083984,271.5930176,945.8546753,1034.754273,
99,snow,-121.692005,48.85471919,-53050.72656,1775.954834,-771.4440918,477.403717,472.6085205,-744.3348389,-102.0330887,-525.1877441,472.7444153,128.4180908,
